sample_ID,new_colonynumber,date ,SGD_dil,SGD_number,weight_g,volume_mL,SA_cm2,spc,salinity ,mV,pH,DO_percent,mg_L,temp_C,pH_night,TrisCalDate,phosphate_umolL,silicate_umolL,NN_umolL,ammonia_umolL,CobleA,CobleB,CobleC,CobleM,CobleT,Fpeak,Stedmon_D,Optical_Brighteners,dieselBandII,Petroleum,Lignin,BIX,HIX,FI,M_to_C,JP5_empirical,JP5_normalized,Diesel_Chen
Cabral_Col5_Dil2_Dark,13,6/10/23,2,0.01,19.1802,12,66.9375,55.1,36.5,-74,8.05,68.6,4.44,27.224,8.06,6/14/23,0.05,3.49,1.04,0.57,,,,,,,,,,,,,,,,,,
Cabral_Col5_Dil3_Dark,13,6/10/23,3,0.03,17.6857,12,68.82292,55.2,36.6,-75.5,8.07,63.4,4.1,26.984,8.06,6/14/23,0.04,4.11,0.28,0.7,,,,,,,,,,,,,,,,,,
Cabral_Col5_Dil4_Dark,13,6/10/23,4,0.05,28.3623,22,145.03125,55.2,36.5,-74.8,8.06,67.8,4.38,27.108,8.06,6/14/23,0.05,3.13,3.25,0.76,,,,,,,,,,,,,,,,,,
Cabral_Col5_Dil5_Dark,13,6/10/23,5,0.1,19.6728,10,75.54167,55.2,36.5,-75.4,8.07,72.1,4.61,27.058,8.06,6/14/23,0.06,5.23,0.17,0.43,,,,,,,,,,,,,,,,,,
Cabral_Col5_Dil6_Dark,13,6/10/23,6,0.5,16.458,10,52.1875,55,36.4,-75.4,8.07,67.9,4.39,27.294,8.06,6/14/23,0.13,6.59,0.4,2,,,,,,,,,,,,,,,,,,
Cabral_Col5_Dil7_Dark,13,6/10/23,7,1,24.5513,13,90.85937,54.6,36.1,-74.9,8.06,65.2,4.2,27.269,8.06,6/14/23,0.09,8.39,0.06,0.31,,,,,,,,,,,,,,,,,,
Cabral_Col5_Dil8_Dark,13,6/10/23,8,2,24.3765,13,104.96875,54.3,35.9,-75.5,8.07,67.2,4.35,26.909,8.05,6/14/23,0.09,15.42,0.24,0.88,,,,,,,,,,,,,,,,,,
Cabral_Col5_Dil9_Dark,13,6/10/23,9,4,15.7291,12,52.13542,53.4,35.2,-75.8,8.08,66.2,4.28,27.163,8.05,6/14/23,0.12,24.72,0.04,0.39,,,,,,,,,,,,,,,,,,
Cabral_Col6_Dil1_Light,14,6/10/23,1,0,33.1973,20,73.53125,55.3,36.6,-73.7,8.14,67.5,4.34,27.11,8.05,6/14/23,0.05,3.38,0.16,0.52,0.027541506,0.036395897,0.027274219,0.032143323,0.03862979,0.001702354,0.00932353,0.020843317,0.006149893,0.025281237,0.022660135,0.777988113,1.881125422,2.205563451,0.848518953,2.154102215,0.072406677,8.917501331
Cabral_Col6_Dil2_Light,14,6/10/23,2,0.01,20.026,12,89.58854,55.1,36.5,-74,8.05,68.6,4.44,27.224,8.06,6/14/23,0.05,3.49,1.04,0.57,0.031737216,0.047266938,0.031466316,0.03659372,0.057623442,0.034940738,0.010816674,0.024172332,0.007311762,0.029818292,0.080610847,0.7335254,1.209431946,2.302686759,0.859882955,3.143634527,0.087601981,12.11241916
Cabral_Col6_Dil3_Light,14,6/10/23,3,0.03,31.5235,20,105.30729,55.2,36.6,-75.5,8.07,63.4,4.1,26.984,8.06,6/14/23,0.04,4.11,0.28,0.7,0.026537703,0.042012884,0.02634015,0.033293638,0.043275595,0.00176209,0.009178045,0.020681499,0.006482253,0.025588361,0.035326167,0.808083968,1.536108887,2.322945846,0.791146641,2.438978612,0.080343922,9.462653641
Cabral_Col6_Dil4_Light,14,6/10/23,4,0.05,30.4114,12,91.76562,55.2,36.5,-74.8,8.06,67.8,4.38,27.108,8.06,6/14/23,0.05,3.13,3.25,0.76,0.032054407,0.052447792,0.031679708,0.039701444,0.074762801,0.024397015,0.009610195,0.025273474,0.006445277,0.029904699,0.08195,0.76749146,1.085284668,2.243121157,0.797948507,3.753605798,0.097907828,13.61448462
Cabral_Col6_Dil5_Light,14,6/10/23,5,0.1,43.4612,25,138.09375,55.2,36.5,-75.4,8.07,72.1,4.61,27.058,8.06,6/14/23,0.06,5.23,0.17,0.43,0.028625392,0.043729344,0.028343453,0.034453563,0.051317702,0.005654638,0.009817384,0.022694546,0.006565813,0.026823616,0.0559344,0.807203844,1.449503267,2.211116007,0.822656679,2.638038299,0.078448009,10.87415295
Cabral_Col6_Dil6_Light,14,6/10/23,6,0.5,31.6812,22,138.5625,55,36.4,-75.4,8.07,67.9,4.39,27.294,8.06,6/14/23,0.13,6.59,0.4,2,0.0308233,0.042561833,0.031364155,0.03327133,0.059961955,0.028377087,0.012400193,0.025084863,0.008376353,0.034378401,0.023501125,0.819180917,1.466428569,2.056216488,0.942678117,2.952221932,0.080487173,11.8854843
Cabral_Col6_Dil7_Light,14,6/10/23,7,1,34.0625,18,102.91667,54.6,36.1,-74.9,8.06,65.2,4.2,27.269,8.06,6/14/23,0.09,8.39,0.06,0.31,0.042463456,0.042923687,0.043421322,0.050221284,0.087439697,0.033423894,0.012712891,0.035618074,0.008624743,0.036047607,0.056397002,0.802758413,1.41195179,2.282496801,0.864600003,3.694606246,0.079838264,14.97867506
Cabral_Col6_Dil8_Light,14,6/10/23,8,2,21.1687,12,64.39583,54.3,35.9,-75.5,8.07,67.2,4.35,26.909,8.05,6/14/23,0.09,15.42,0.24,0.88,0.027992854,0.033488243,0.028902429,0.030560495,0.046481338,0.023480675,0.009874848,0.023420476,0.006861607,0.026253268,0.048416912,0.847143223,1.390917706,2.140984523,0.945744794,2.483270656,0.076890451,10.44839156
Cabral_Col6_Dil9_Light,14,6/10/23,9,4,27.1245,14,75.5625,53.4,35.2,-75.8,8.08,66.2,4.28,27.163,8.05,6/14/23,0.12,24.72,0.04,0.39,0.035165821,0.046999815,0.036737927,0.038709162,0.067170255,0.018752172,0.01400442,0.030494749,0.009981765,0.034996189,0.043934515,0.863620105,1.350160011,2.030714746,0.949075764,3.302860785,0.080619073,12.96723223
Cabral_Col6_Dil1_Dark,14,6/10/23,1,0,33.1973,20,73.53125,55.3,36.6,-73.7,8.14,67.5,4.34,27.11,8.05,6/14/23,0.05,3.38,0.16,0.52,,,,,,,,,,,,,,,,,,
Cabral_Col6_Dil2_Dark,14,6/10/23,2,0.01,20.026,12,89.58854,55.1,36.5,-74,8.05,68.6,4.44,27.224,8.06,6/14/23,0.05,3.49,1.04,0.57,,,,,,,,,,,,,,,,,,
Cabral_Col6_Dil3_Dark,14,6/10/23,3,0.03,31.5235,20,105.30729,55.2,36.6,-75.5,8.07,63.4,4.1,26.984,8.06,6/14/23,0.04,4.11,0.28,0.7,,,,,,,,,,,,,,,,,,
Cabral_Col6_Dil4_Dark,14,6/10/23,4,0.05,30.4114,12,91.76562,55.2,36.5,-74.8,8.06,67.8,4.38,27.108,8.06,6/14/23,0.05,3.13,3.25,0.76,,,,,,,,,,,,,,,,,,
Cabral_Col6_Dil5_Dark,14,6/10/23,5,0.1,43.4612,25,138.09375,55.2,36.5,-75.4,8.07,72.1,4.61,27.058,8.06,6/14/23,0.06,5.23,0.17,0.43,,,,,,,,,,,,,,,,,,
Cabral_Col6_Dil6_Dark,14,6/10/23,6,0.5,31.6812,22,138.5625,55,36.4,-75.4,8.07,67.9,4.39,27.294,8.06,6/14/23,0.13,6.59,0.4,2,,,,,,,,,,,,,,,,,,
Cabral_Col6_Dil7_Dark,14,6/10/23,7,1,34.0625,18,102.91667,54.6,36.1,-74.9,8.06,65.2,4.2,27.269,8.06,6/14/23,0.09,8.39,0.06,0.31,,,,,,,,,,,,,,,,,,
Cabral_Col6_Dil8_Dark,14,6/10/23,8,2,21.1687,12,64.39583,54.3,35.9,-75.5,8.07,67.2,4.35,26.909,8.05,6/14/23,0.09,15.42,0.24,0.88,,,,,,,,,,,,,,,,,,
Cabral_Col6_Dil9_Dark,14,6/10/23,9,4,27.1245,14,75.5625,53.4,35.2,-75.8,8.08,66.2,4.28,27.163,8.05,6/14/23,0.12,24.72,0.04,0.39,,,,,,,,,,,,,,,,,,
Cabral_BlankD3_Dil1_Light,BLANK,6/10/23,1,0,N/A,0,0,55.3,36.6,-73.7,8.14,67.5,4.34,27.11,8.05,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD3_Dil2_Light,BLANK,6/10/23,2,0.01,N/A,0,0,55.1,36.5,-74,8.05,68.6,4.44,27.224,8.06,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD3_Dil3_Light,BLANK,6/10/23,3,0.03,N/A,0,0,55.2,36.6,-75.5,8.07,63.4,4.1,26.984,8.06,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD3_Dil4_Light,BLANK,6/10/23,4,0.05,N/A,0,0,55.2,36.5,-74.8,8.06,67.8,4.38,27.108,8.06,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD3_Dil5_Light,BLANK,6/10/23,5,0.1,N/A,0,0,55.2,36.5,-75.4,8.07,72.1,4.61,27.058,8.06,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD3_Dil6_Light,BLANK,6/10/23,6,0.5,N/A,0,0,55,36.4,-75.4,8.07,67.9,4.39,27.294,8.06,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD3_Dil7_Light,BLANK,6/10/23,7,1,N/A,0,0,54.6,36.1,-74.9,8.06,65.2,4.2,27.269,8.06,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD3_Dil8_Light,BLANK,6/10/23,8,2,N/A,0,0,54.3,35.9,-75.5,8.07,67.2,4.35,26.909,8.05,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD3_Dil9_Light,BLANK,6/10/23,9,4,N/A,0,0,53.4,35.2,-75.8,8.08,66.2,4.28,27.163,8.05,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD3_Dil1_Dark,BLANK,6/10/23,1,0,N/A,0,0,55.3,36.6,-73.7,8.14,67.5,4.34,27.11,8.05,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD3_Dil2_Dark,BLANK,6/10/23,2,0.01,N/A,0,0,55.1,36.5,-74,8.05,68.6,4.44,27.224,8.06,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD3_Dil3_Dark,BLANK,6/10/23,3,0.03,N/A,0,0,55.2,36.6,-75.5,8.07,63.4,4.1,26.984,8.06,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD3_Dil4_Dark,BLANK,6/10/23,4,0.05,N/A,0,0,55.2,36.5,-74.8,8.06,67.8,4.38,27.108,8.06,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD3_Dil5_Dark,BLANK,6/10/23,5,0.1,N/A,0,0,55.2,36.5,-75.4,8.07,72.1,4.61,27.058,8.06,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD3_Dil6_Dark,BLANK,6/10/23,6,0.5,N/A,0,0,55,36.4,-75.4,8.07,67.9,4.39,27.294,8.06,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD3_Dil7_Dark,BLANK,6/10/23,7,1,N/A,0,0,54.6,36.1,-74.9,8.06,65.2,4.2,27.269,8.06,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD3_Dil8_Dark,BLANK,6/10/23,8,2,N/A,0,0,54.3,35.9,-75.5,8.07,67.2,4.35,26.909,8.05,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD3_Dil9_Dark,BLANK,6/10/23,9,4,N/A,0,0,53.4,35.2,-75.8,8.08,66.2,4.28,27.163,8.05,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_Col7_Dil1_Light,15,6/11/23,1,0,20.2984,10,65.53125,55.2,36.5,-76.7,8.09,71.9,4.69,27.436,,6/14/23,0.03,4.24,0.54,21.41,,,,,,,,,,,,,,,,,,
Cabral_Col7_Dil2_Light,15,6/11/23,2,0.01,21.159,8,70.66146,55.3,36.6,-76.4,8.09,68.6,4.42,27.345,,6/14/23,0.03,3.04,1.02,17.21,,,,,,,,,,,,,,,,,,
Cabral_Col7_Dil3_Light,15,6/11/23,3,0.03,23.9089,11,75.89583,55.1,36.5,-76.2,8.08,68,4.36,27.68,,6/14/23,0.04,5.16,1.78,2.98,,,,,,,,,,,,,,,,,,
Cabral_Col7_Dil4_Light,15,6/11/23,4,0.05,26.81,13,92.86458,55.2,36.5,-74.9,8.06,67.1,4.3,27.788,,6/14/23,0.03,3.79,0.14,0.86,,,,,,,,,,,,,,,,,,
Cabral_Col7_Dil5_Light,15,6/11/23,5,0.1,29.3809,14,115.66667,55.2,36.5,-74.7,8.06,63.1,4.02,27.779,,6/14/23,0.03,4.33,0.45,0.95,,,,,,,,,,,,,,,,,,
Cabral_Col7_Dil6_Light,15,6/11/23,6,0.5,19.347,10,58.54167,54.9,36.3,-76.8,8.09,65.8,4.16,27.685,,6/14/23,0.04,6.59,0.6,8.48,,,,,,,,,,,,,,,,,,
Cabral_Col7_Dil7_Light,15,6/11/23,7,1,19.8876,10,72.11458,54.7,36.2,-74,8.05,64.8,4.15,27.602,,6/14/23,0.05,9.41,0.46,10.63,,,,,,,,,,,,,,,,,,
Cabral_Col7_Dil8_Light,15,6/11/23,8,2,24.2476,14,0,54.4,35.9,-74,8.05,65.7,4.24,27.452,,6/14/23,0.06,13.9,0.17,23.37,,,,,,,,,,,,,,,,,,
Cabral_Col7_Dil9_Light,15,6/11/23,9,4,23.3207,12,90.65625,53.3,35.1,-76.1,8.08,64.1,4.15,27.734,,6/14/23,0.06,23.61,1.31,18.74,,,,,,,,,,,,,,,,,,
Cabral_Col7_Dil1_Dark,15,6/11/23,1,0,20.2984,10,65.53125,55.2,36.5,-76.7,8.09,71.9,4.69,27.436,,6/14/23,0.03,4.24,0.54,21.41,,,,,,,,,,,,,,,,,,
Cabral_Col7_Dil2_Dark,15,6/11/23,2,0.01,21.159,8,70.66146,55.3,36.6,-76.4,8.09,68.6,4.42,27.345,,6/14/23,0.03,3.04,1.02,17.21,,,,,,,,,,,,,,,,,,
Cabral_Col7_Dil3_Dark,15,6/11/23,3,0.03,23.9089,11,75.89583,55.1,36.5,-76.2,8.08,68,4.36,27.68,,6/14/23,0.04,5.16,1.78,2.98,,,,,,,,,,,,,,,,,,
Cabral_Col7_Dil4_Dark,15,6/11/23,4,0.05,26.81,13,92.86458,55.2,36.5,-74.9,8.06,67.1,4.3,27.788,,6/14/23,0.03,3.79,0.14,0.86,,,,,,,,,,,,,,,,,,
Cabral_Col7_Dil5_Dark,15,6/11/23,5,0.1,29.3809,14,115.66667,55.2,36.5,-74.7,8.06,63.1,4.02,27.779,,6/14/23,0.03,4.33,0.45,0.95,,,,,,,,,,,,,,,,,,
Cabral_Col7_Dil6_Dark,15,6/11/23,6,0.5,19.347,10,58.54167,54.9,36.3,-76.8,8.09,65.8,4.16,27.685,,6/14/23,0.04,6.59,0.6,8.48,,,,,,,,,,,,,,,,,,
Cabral_Col7_Dil7_Dark,15,6/11/23,7,1,19.8876,10,72.11458,54.7,36.2,-74,8.05,64.8,4.15,27.602,,6/14/23,0.05,9.41,0.46,10.63,,,,,,,,,,,,,,,,,,
Cabral_Col7_Dil8_Dark,15,6/11/23,8,2,24.2476,14,0,54.4,35.9,-74,8.05,65.7,4.24,27.452,,6/14/23,0.06,13.9,0.17,23.37,,,,,,,,,,,,,,,,,,
Cabral_Col7_Dil9_Dark,15,6/11/23,9,4,23.3207,12,90.65625,53.3,35.1,-76.1,8.08,64.1,4.15,27.734,,6/14/23,0.06,23.61,1.31,18.74,,,,,,,,,,,,,,,,,,
Cabral_Col8_Dil1_Light,16,6/11/23,1,0,26.2037,12,97.17708,55.2,36.5,-76.7,8.09,71.9,4.69,27.436,,6/14/23,0.03,4.24,0.54,21.41,,,,,,,,,,,,,,,,,,
Cabral_Col8_Dil2_Light,16,6/11/23,2,0.01,24.9439,13,110.98438,55.3,36.6,-76.4,8.09,68.6,4.42,27.345,,6/14/23,0.03,3.04,1.02,17.21,,,,,,,,,,,,,,,,,,
Cabral_Col8_Dil3_Light,16,6/11/23,3,0.03,20.5479,11,94.59375,55.1,36.5,-76.2,8.08,68,4.36,27.68,,6/14/23,0.04,5.16,1.78,2.98,,,,,,,,,,,,,,,,,,
Cabral_Col8_Dil4_Light,16,6/11/23,4,0.05,27.6969,14,132.83854,55.2,36.5,-74.9,8.06,67.1,4.3,27.788,,6/14/23,0.03,3.79,0.14,0.86,,,,,,,,,,,,,,,,,,
Cabral_Col8_Dil5_Light,16,6/11/23,5,0.1,22.5343,12,98.33333,55.2,36.5,-74.7,8.06,63.1,4.02,27.779,,6/14/23,0.03,4.33,0.45,0.95,,,,,,,,,,,,,,,,,,
Cabral_Col8_Dil6_Light,16,6/11/23,6,0.5,16.7954,8,63.46354,54.9,36.3,-76.8,8.09,65.8,4.16,27.685,,6/14/23,0.04,6.59,0.6,8.48,,,,,,,,,,,,,,,,,,
Cabral_Col8_Dil7_Light,16,6/11/23,7,1,25.7629,13,92.48438,54.7,36.2,-74,8.05,64.8,4.15,27.602,,6/14/23,0.05,9.41,0.46,10.63,,,,,,,,,,,,,,,,,,
Cabral_Col8_Dil8_Light,16,6/11/23,8,2,29.0183,14,135.30208,54.4,35.9,-74,8.05,65.7,4.24,27.452,,6/14/23,0.06,13.9,0.17,23.37,,,,,,,,,,,,,,,,,,
Cabral_Col8_Dil9_Light,16,6/11/23,9,4,16.4498,8,61.42708,53.3,35.1,-76.1,8.08,64.1,4.15,27.734,,6/14/23,0.06,23.61,1.31,18.74,,,,,,,,,,,,,,,,,,
Cabral_Col8_Dil1_Dark,16,6/11/23,1,0,26.2037,12,97.17708,55.2,36.5,-76.7,8.09,71.9,4.69,27.436,,6/14/23,0.03,4.24,0.54,21.41,,,,,,,,,,,,,,,,,,
Cabral_Col8_Dil2_Dark,16,6/11/23,2,0.01,24.9439,13,110.98438,55.3,36.6,-76.4,8.09,68.6,4.42,27.345,,6/14/23,0.03,3.04,1.02,17.21,,,,,,,,,,,,,,,,,,
Cabral_Col8_Dil3_Dark,16,6/11/23,3,0.03,20.5479,11,94.59375,55.1,36.5,-76.2,8.08,68,4.36,27.68,,6/14/23,0.04,5.16,1.78,2.98,,,,,,,,,,,,,,,,,,
Cabral_Col8_Dil4_Dark,16,6/11/23,4,0.05,27.6969,14,132.83854,55.2,36.5,-74.9,8.06,67.1,4.3,27.788,,6/14/23,0.03,3.79,0.14,0.86,,,,,,,,,,,,,,,,,,
Cabral_Col8_Dil5_Dark,16,6/11/23,5,0.1,22.5343,12,98.33333,55.2,36.5,-74.7,8.06,63.1,4.02,27.779,,6/14/23,0.03,4.33,0.45,0.95,,,,,,,,,,,,,,,,,,
Cabral_Col8_Dil6_Dark,16,6/11/23,6,0.5,16.7954,8,63.46354,54.9,36.3,-76.8,8.09,65.8,4.16,27.685,,6/14/23,0.04,6.59,0.6,8.48,,,,,,,,,,,,,,,,,,
Cabral_Col8_Dil7_Dark,16,6/11/23,7,1,25.7629,13,92.48438,54.7,36.2,-74,8.05,64.8,4.15,27.602,,6/14/23,0.05,9.41,0.46,10.63,,,,,,,,,,,,,,,,,,
Cabral_Col8_Dil8_Dark,16,6/11/23,8,2,29.0183,14,135.30208,54.4,35.9,-74,8.05,65.7,4.24,27.452,,6/14/23,0.06,13.9,0.17,23.37,,,,,,,,,,,,,,,,,,
Cabral_Col8_Dil9_Dark,16,6/11/23,9,4,16.4498,8,61.42708,53.3,35.1,-76.1,8.08,64.1,4.15,27.734,,6/14/23,0.06,23.61,1.31,18.74,,,,,,,,,,,,,,,,,,
Cabral_BlankD4_Dil1_Light,BLANK,6/11/23,1,0,N/A,0,0,55.2,36.5,-76.7,8.09,71.9,4.69,27.436,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD4_Dil2_Light,BLANK,6/11/23,2,0.01,N/A,0,0,55.3,36.6,-76.4,8.09,68.6,4.42,27.345,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD4_Dil3_Light,BLANK,6/11/23,3,0.03,N/A,0,0,55.1,36.5,-76.2,8.08,68,4.36,27.68,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD4_Dil4_Light,BLANK,6/11/23,4,0.05,N/A,0,0,55.2,36.5,-74.9,8.06,67.1,4.3,27.788,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD4_Dil5_Light,BLANK,6/11/23,5,0.1,N/A,0,0,55.2,36.5,-74.7,8.06,63.1,4.02,27.779,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD4_Dil6_Light,BLANK,6/11/23,6,0.5,N/A,0,0,54.9,36.3,-76.8,8.09,65.8,4.16,27.685,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD4_Dil7_Light,BLANK,6/11/23,7,1,N/A,0,0,54.7,36.2,-74,8.05,64.8,4.15,27.602,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD4_Dil8_Light,BLANK,6/11/23,8,2,N/A,0,0,54.4,35.9,-74,8.05,65.7,4.24,27.452,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD4_Dil9_Light,BLANK,6/11/23,9,4,N/A,0,0,53.3,35.1,-76.1,8.08,64.1,4.15,27.734,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD4_Dil1_Dark,BLANK,6/11/23,1,0,N/A,0,0,55.2,36.5,-76.7,8.09,71.9,4.69,27.436,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD4_Dil2_Dark,BLANK,6/11/23,2,0.01,N/A,0,0,55.3,36.6,-76.4,8.09,68.6,4.42,27.345,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD4_Dil3_Dark,BLANK,6/11/23,3,0.03,N/A,0,0,55.1,36.5,-76.2,8.08,68,4.36,27.68,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD4_Dil4_Dark,BLANK,6/11/23,4,0.05,N/A,0,0,55.2,36.5,-74.9,8.06,67.1,4.3,27.788,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD4_Dil5_Dark,BLANK,6/11/23,5,0.1,N/A,0,0,55.2,36.5,-74.7,8.06,63.1,4.02,27.779,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD4_Dil6_Dark,BLANK,6/11/23,6,0.5,N/A,0,0,54.9,36.3,-76.8,8.09,65.8,4.16,27.685,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD4_Dil7_Dark,BLANK,6/11/23,7,1,N/A,0,0,54.7,36.2,-74,8.05,64.8,4.15,27.602,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD4_Dil8_Dark,BLANK,6/11/23,8,2,N/A,0,0,54.4,35.9,-74,8.05,65.7,4.24,27.452,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD4_Dil9_Dark,BLANK,6/11/23,9,4,N/A,0,0,53.3,35.1,-76.1,8.08,64.1,4.15,27.734,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
