rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,PR,frag_ID,sample_ID,species_ID,weight_g,volume_mL,SA_cm2,species,full_species
0.74,34,2.84,81.53,0.38,NA,1.62,47.53,78.69,6.11,NA,Respiration,A01,A01_TPC,A,1,463,24.72486281,Pcyl,Porites cylindrica
0.63,34,7.61,68.51,0.49,NA,1.86,34.51,60.9,5.25,NA,Respiration,G01,G01_TPC,G,1,460,20.38296944,Elam,Echinopora lamellosa
0.63,31.87,3.16,52.46,0.48,NA,1.84,20.6,49.3,7.05,NA,Respiration,H01,H01_TPC,H,1,461,32.84078989,Maeq,Montipora aequituberculata
0.66,33.17,5.65,61.25,0.53,NA,1.97,28.08,55.6,6.12,NA,Respiration,G02,G02_TPC,G,1,461,16.88329491,Elam,Echinopora lamellosa
0.76,31.29,13.8,Inf,0.49,NA,1.87,Inf,Inf,7.48,NA,Respiration,A02,A02_TPC,A,1,459,19.14835317,Pcyl,Porites cylindrica
0.62,34,18.92,Inf,0.27,NA,1.41,Inf,Inf,8.1,NA,Respiration,I02,I02_TPC,I,1,460,24.37074807,Tfro,Turbinaria frondens
0.27,32.13,2.85,57.96,0.39,NA,1.65,25.83,55.12,7.25,NA,Respiration,H02,H02_TPC,H,1,455,37.79520607,Maeq,Montipora aequituberculata
0.56,34,23.31,Inf,0.58,NA,2.07,Inf,Inf,7.27,NA,Respiration,B03,B03_TPC,B,1,465,17.06832783,Mvie,Montipora vietnamensis
0.86,30.89,18.19,61.41,1.09,0.45,4.05,30.52,43.22,6.25,0.64,Respiration,C03,C03_TPC,C,1,452,26.45396363,Fcom,Favites complanata
0.67,34,18.41,Inf,0.3,NA,1.47,Inf,Inf,7.68,NA,Respiration,D03,D03_TPC,D,1,463,17.32354567,Prus,Porites rus
0.73,34,-6.24,Inf,0.24,NA,1.35,Inf,Inf,8.22,NA,Respiration,F07,F07_TPC,F,1,444,25.48732609,Prug,Pachyseris rugosa
0.66,27.79,21.94,Inf,1.59,0.08,7.89,Inf,Inf,8.8,1.52,Respiration,D07,D07_TPC,D,1,465,13.26877235,Prus,Porites rus
0.45,34,21.9,Inf,0.28,NA,1.42,Inf,Inf,8.5,NA,Respiration,G07,G07_TPC,G,1,462,20.22026807,Elam,Echinopora lamellosa
0.44,31.59,4.72,46.44,0.57,NA,2.08,14.85,41.72,6.59,NA,Respiration,H08,H08_TPC,H,1,466,15.57211329,Maeq,Montipora aequituberculata
0.56,31.08,9.25,49.97,0.57,NA,2.07,18.89,40.73,6.89,NA,Respiration,F08,F08_TPC,F,1,457,24.85885218,Prug,Pachyseris rugosa
0.59,30.84,16.55,Inf,0.53,0.05,1.97,Inf,Inf,7.65,0.48,Respiration,A08,A08_TPC,A,1,464,13.2751528,Pcyl,Porites cylindrica
0.28,34,15.62,Inf,0.02,NA,1.03,Inf,Inf,8,NA,Respiration,C08,C08_TPC,C,1,467,8.907737636,Fcom,Favites complanata
0.88,24.5,-Inf,37.7,NA,0.42,NA,13.2,Inf,7.37,NA,NetPhoto,A01,A01_TPC,A,1,463,24.72486281,Pcyl,Porites cylindrica
1.06,27.78,17.82,56.18,1.03,0.68,3.81,28.4,38.37,6.12,0.35,NetPhoto,G01,G01_TPC,G,1,460,20.38296944,Elam,Echinopora lamellosa
0.88,29.49,-15.97,40.03,0.33,0.98,1.53,10.54,55.99,8.11,-0.65,NetPhoto,C01,C01_TPC,C,1,462,23.69761104,Fcom,Favites complanata
0.9,28.68,7.17,45.95,0.56,0.73,2.07,17.27,38.78,7.29,-0.16,NetPhoto,F01,F01_TPC,F,1,464,14.38535037,Prug,Pachyseris rugosa
0.74,28.49,8.12,51.99,0.43,0.59,1.75,23.5,43.87,8.15,-0.16,NetPhoto,E01,E01_TPC,E,1,460,33.93822657,Peyd,Pocillopora eydouxi
0.78,28.68,4.6,44.74,0.47,0.72,1.83,16.07,40.14,7.46,-0.26,NetPhoto,J01,J01_TPC,J,1,465,16.22929921,Ahya,Acropora hyacinthus
0.57,27.8,15.13,51.24,0.71,0.74,2.52,23.44,36.11,6.38,-0.03,NetPhoto,I01,I01_TPC,I,1,468,26.20193602,Tfro,Turbinaria frondens
0.81,29.76,-16.59,39.32,0.32,1.12,1.5,9.56,55.91,8.19,-0.8,NetPhoto,B01,B01_TPC,B,1,462,19.26639142,Mvie,Montipora vietnamensis
0.42,27.4,-Inf,39.04,0.31,0.61,1.49,11.65,Inf,7.58,-0.3,NetPhoto,H01,H01_TPC,H,1,461,32.84078989,Maeq,Montipora aequituberculata
0.88,27.42,-Inf,42.77,0.01,0.55,NA,15.35,Inf,7.73,-0.54,NetPhoto,D01,D01_TPC,D,1,460,28.54674986,Prus,Porites rus
1.1,27.51,12.87,56.67,0.69,0.53,2.47,29.16,43.8,7.17,0.16,NetPhoto,G02,G02_TPC,G,1,461,16.88329491,Elam,Echinopora lamellosa
0.82,26.54,-Inf,49.89,NA,0.32,NA,23.35,Inf,7.88,NA,NetPhoto,E02,E02_TPC,E,1,457,34.41995023,Peyd,Pocillopora eydouxi
0.92,29.04,-21.87,38.45,0.25,1.37,1.38,9.41,60.32,7.52,-1.12,NetPhoto,F04,F04_TPC,F,1,463,22.44704366,Prug,Pachyseris rugosa
0.9,27.11,-Inf,42.14,0.19,0.73,1.27,15.03,Inf,6.93,-0.55,NetPhoto,D02,D02_TPC,D,1,464,18.28699298,Prus,Porites rus
0.79,26.35,21.37,Inf,NA,0.44,NA,Inf,Inf,7.78,NA,NetPhoto,A02,A02_TPC,A,1,459,19.14835317,Pcyl,Porites cylindrica
0.7,29.04,-2.9,53.68,0.34,0.35,1.56,24.64,56.58,9.5,-0.01,NetPhoto,I02,I02_TPC,I,1,460,24.37074807,Tfro,Turbinaria frondens
1.02,28.45,10.43,51.7,0.59,0.53,2.13,23.25,41.27,7.65,0.06,NetPhoto,C02,C02_TPC,C,1,460,24.72805304,Fcom,Favites complanata
0.79,26.63,20.54,51.4,NA,0.92,NA,24.77,30.86,4.43,NA,NetPhoto,J02,J02_TPC,J,1,464,20.79769841,Ahya,Acropora hyacinthus
0.72,28.39,8.77,46.32,0.57,0.82,2.09,17.93,37.55,7.07,-0.25,NetPhoto,B02,B02_TPC,B,1,464,18.64110773,Mvie,Montipora vietnamensis
0.53,28.02,-6.36,43.76,0.32,0.81,1.52,15.74,50.12,7.37,-0.48,NetPhoto,H02,H02_TPC,H,1,455,37.79520607,Maeq,Montipora aequituberculata
0.72,28.69,-21.16,43.02,0.04,0.78,1.05,14.33,64.18,8.21,-0.74,NetPhoto,E03,E03_TPC,E,1,457,37.62293403,Peyd,Pocillopora eydouxi
0.49,28.91,-4.91,42.06,0.43,0.8,1.73,13.15,46.97,7.79,-0.37,NetPhoto,I03,I03_TPC,I,1,459,30.56935118,Tfro,Turbinaria frondens
0.95,25.45,20.61,Inf,NA,0.32,NA,Inf,Inf,7.02,NA,NetPhoto,A03,A03_TPC,A,1,461,19.11326072,Pcyl,Porites cylindrica
0.68,28.22,13.58,54.09,0.59,0.7,2.15,25.88,40.52,7.2,-0.11,NetPhoto,H04,H04_TPC,H,1,458,41.64580512,Maeq,Montipora aequituberculata
1.12,28.92,5.2,51.25,0.3,0.61,1.47,22.32,46.05,8.7,-0.31,NetPhoto,F03,F03_TPC,F,1,463,17.6489484,Prug,Pachyseris rugosa
0.92,28.56,5.59,42.44,0.59,0.89,2.15,13.88,36.85,6.76,-0.3,NetPhoto,J03,J03_TPC,J,1,461,29.80688791,Ahya,Acropora hyacinthus
0.71,29.4,-14.46,37.96,0.4,1.41,1.67,8.57,52.42,7.54,-1.01,NetPhoto,B03,B03_TPC,B,1,465,17.06832783,Mvie,Montipora vietnamensis
1.53,30.26,-5.18,39.61,0.46,1.23,1.79,9.35,44.78,7.05,-0.77,NetPhoto,C03,C03_TPC,C,1,452,26.45396363,Fcom,Favites complanata
1.36,27.99,18.7,59.45,1.25,0.59,5.06,31.46,40.75,6.23,0.66,NetPhoto,G05,G05_TPC,G,1,465,17.26931188,Elam,Echinopora lamellosa
0.77,27.05,19.44,Inf,0.69,0.4,2.43,Inf,Inf,8.03,0.28,NetPhoto,D03,D03_TPC,D,1,463,17.32354567,Prus,Porites rus
0.94,30.52,-24.14,37.11,0.31,1.68,1.48,6.59,61.25,8.11,-1.37,NetPhoto,B07,B07_TPC,B,1,468,13.30067458,Mvie,Montipora vietnamensis
1.15,30.04,-Inf,38.71,0.19,0.97,1.28,8.68,Inf,8.49,-0.78,NetPhoto,A07,A07_TPC,A,1,462,13.81749069,Pcyl,Porites cylindrica
1.1,29.07,-0.54,44.35,0.37,0.75,1.6,15.28,44.89,8.15,-0.38,NetPhoto,E07,E07_TPC,E,1,462,18.03177515,Peyd,Pocillopora eydouxi
0.93,29.44,-3.35,39.62,0.48,1.19,1.86,10.18,42.97,7,-0.71,NetPhoto,J07,J07_TPC,J,1,465,16.49727793,Ahya,Acropora hyacinthus
1.41,30.5,-Inf,37.93,0.28,1.08,1.42,7.43,Inf,8.58,-0.81,NetPhoto,C07,C07_TPC,C,1,463,12.85404337,Fcom,Favites complanata
1.28,29.58,-Inf,37.99,0.21,1.25,NA,8.41,Inf,7.99,-1.04,NetPhoto,F07,F07_TPC,F,1,444,25.48732609,Prug,Pachyseris rugosa
1.05,29.26,-20.28,44.1,0.15,0.64,1.22,14.84,64.38,8.88,-0.49,NetPhoto,D07,D07_TPC,D,1,465,13.26877235,Prus,Porites rus
0.79,29.21,-22.28,41.6,0.21,0.79,1.3,12.39,63.87,8.36,-0.59,NetPhoto,I07,I07_TPC,I,1,466,10.84739316,Tfro,Turbinaria frondens
0.82,28.94,-13.89,42.41,0.32,0.63,1.52,13.47,56.3,8.13,-0.3,NetPhoto,G07,G07_TPC,G,1,462,20.22026807,Elam,Echinopora lamellosa
0.72,27.7,-20.66,51.39,0.2,0.31,1.29,23.7,72.05,8.88,-0.12,NetPhoto,H07,H07_TPC,H,1,468,19.99695246,Maeq,Montipora aequituberculata
0.49,24.5,-Inf,36.92,NA,0.67,NA,12.41,Inf,5.88,NA,NetPhoto,B08,B08_TPC,B,1,465,21.71648261,Mvie,Montipora vietnamensis
0.48,26.91,20.71,80.46,NA,0.45,NA,53.55,59.75,6.59,NA,NetPhoto,H08,H08_TPC,H,1,466,15.57211329,Maeq,Montipora aequituberculata
0.95,29.47,-Inf,39.42,0.2,0.67,1.3,9.95,Inf,8.33,-0.47,NetPhoto,E08,E08_TPC,E,1,461,30.03020351,Peyd,Pocillopora eydouxi
1.5,29.52,-14.3,49.08,0.14,0.37,NA,19.56,63.39,9.5,-0.23,NetPhoto,D04,D04_TPC,D,1,460,15.43174348,Prus,Porites rus
0.82,29.84,-4.68,43.23,0.41,0.67,1.68,13.39,47.91,8.26,-0.26,NetPhoto,J08,J08_TPC,J,1,464,15.59444485,Ahya,Acropora hyacinthus
0.89,24.5,-Inf,35.78,NA,0.33,NA,11.28,Inf,8.29,NA,NetPhoto,F08,F08_TPC,F,1,457,24.85885218,Prug,Pachyseris rugosa
1.35,28.79,-22.14,47.58,0.39,0.26,1.65,18.79,69.72,9.21,0.12,NetPhoto,I08,I08_TPC,I,1,465,7.194587934,Tfro,Turbinaria frondens
1.01,29.01,5.74,44.89,0.54,0.79,1.99,15.88,39.15,7.35,-0.26,NetPhoto,G08,G08_TPC,G,1,461,22.74054416,Elam,Echinopora lamellosa
1.16,28.48,-Inf,60.39,0.05,0.16,NA,31.91,Inf,8,-0.11,NetPhoto,A08,A08_TPC,A,1,464,13.2751528,Pcyl,Porites cylindrica
0.68,29.88,-16.65,41.66,0.21,0.52,1.31,11.79,58.31,7.29,-0.31,NetPhoto,C08,C08_TPC,C,1,467,8.907737636,Fcom,Favites complanata
