date ,start_time,stop_time,colony_number,site,sample_ID,SGD_dil,FileID_csv,day_block,run_block,chamber_channel,light_dark,BLANK,date_coral_collected,date_water_collected,notes
5/29/23,11:38,12:03,BLANK,Cabral,Tr1_Blank_Dil1_Light,0.01,Trial_Blank_Dil1Ch1_Day1_Light_05292023_O2.csv,1,RUN1,1,LIGHT,y,,,
5/29/23,11:38,12:03,BLANK,Cabral,Tr1_Blank_Dil2_Light,0.03,Trial_Blank_Dil2Ch2_Day1_Light_05292023_O2.csv,1,RUN1,2,LIGHT,y,,,
5/29/23,11:38,12:03,BLANK,Cabral,Tr1_Blank_Dil3_Light,0.05,Trial_Blank_Dil3Ch3Day1_Light_05292023_O2.csv,1,RUN1,3,LIGHT,y,,,
5/29/23,11:38,12:03,BLANK,Cabral,Tr1_Blank_Dil5_Light,0.1,Trial_Blank_Dil5Ch5_Day1_Light_05292023_O2.csv,1,RUN1,5,LIGHT,y,,,
5/29/23,11:38,12:03,BLANK,Cabral,Tr1_Blank_Dil6_Light,0.2,Trial_Blank_Dil6Ch6_Day1_Light_05292023_O2.csv,1,RUN1,6,LIGHT,y,,,
5/29/23,11:38,12:03,BLANK,Cabral,Tr1_Blank_Dil7_Light,0.3,Trial_Blank_Dil7Ch7_Day1_Light_05292023_O2.csv,1,RUN1,7,LIGHT,y,,,
5/29/23,11:38,12:03,BLANK,Cabral,Tr1_Blank_Dil8_Light,0.4,Trial_Blank_Dil8Ch8_Day1_Light_05292023_O2.csv,1,RUN1,8,LIGHT,y,,,
5/29/23,11:38,12:03,BLANK,Cabral,Tr1_Blank_Dil9_Light,0.5,Trial_Blank_Dil9Ch9_Day1_Light_05292023_O2.csv,1,RUN1,9,LIGHT,y,,,
5/29/23,12:23,12:48,BLANK,Cabral,Tr1_Blank_Dil1_Dark,0.01,Trial_Blank_Dil1Ch1_Day1_Dark_05292023_O2.csv,1,RUN1,1,DARK,y,,,
5/29/23,12:23,12:48,BLANK,Cabral,Tr1_Blank_Dil2_Dark,0.03,Trial_Blank_Dil2Ch2_Day1_Dark_05292023_O2.csv,1,RUN1,2,DARK,y,,,
5/29/23,12:23,12:48,BLANK,Cabral,Tr1_Blank_Dil3_Dark,0.05,Trial_Blank_Dil3Ch3_Day1_Dark_05292023_O2.csv,1,RUN1,3,DARK,y,,,
5/29/23,12:23,12:48,BLANK,Cabral,Tr1_Blank_Dil5_Dark,0.1,Trial_Blank_Dil5Ch5_Day1_Dark_05292023_O2.csv,1,RUN1,5,DARK,y,,,
5/29/23,12:23,12:48,BLANK,Cabral,Tr1_Blank_Dil6_Dark,0.2,Trial_Blank_Dil6Ch6_Day1_Dark_05292023_O2.csv,1,RUN1,6,DARK,y,,,
5/29/23,12:23,12:48,BLANK,Cabral,Tr1_Blank_Dil7_Dark,0.3,Trial_Blank_Dil7Ch7_Day1_Dark_05292023_O2.csv,1,RUN1,7,DARK,y,,,
5/29/23,12:23,12:48,BLANK,Cabral,Tr1_Blank_Dil8_Dark,0.4,Trial_Blank_Dil8Ch8_Day1_Dark_05292023_O2.csv,1,RUN1,8,DARK,y,,,
5/29/23,12:23,12:48,BLANK,Cabral,Tr1_Blank_Dil9_Dark,0.5,Trial_Blank_Dil9Ch9_Day1_Dark_05292023_O2.csv,1,RUN1,9,DARK,y,,,
5/29/23,19:06,19:29,BLANK,Cabral,Tr1_Blank_Dil10_Light,1,Trial_Blank_Dil10_Ch1_Dark_05292023_O2.csv,1,RUN2,1,DARK,y,,,
