Sample.Name,Run,Slurry_vol_ml,SA_cm2
StandardA_Run2,RUN2,NA,NA
StandardB_Run2,RUN2,NA,NA
StandardC_Run2,RUN2,NA,NA
StandardD_Run2,RUN2,NA,NA
StandardE_Run2,RUN2,NA,NA
StandardF_Run2,RUN2,NA,NA
StandardG_Run2,RUN2,NA,NA
StandardH_Run2,RUN2,NA,NA
StandardI_Run2,RUN2,NA,NA
C02,RUN2,50,31.69549987
C03,RUN2,50,40.06664478
C04,RUN2,50,21.28899274
C05,RUN2,50,45.3751757
C06,RUN2,50,20.0990396
C07,RUN2,50,9.249091487
C08,RUN2,50,9.957320972
C09,RUN2,50,14.16522499
C10,RUN2,50,16.77801755
E01,RUN2,50,37.14759082
E02,RUN2,50,49.80958554
