Well.Location,Run,Sample.Type,Sample.Name
A01,RUN1,Standard,StandardA_Run1
A02,RUN1,Standard,StandardA_Run1
A03,RUN1,Standard,StandardA_Run1
A04,RUN1,Standard,StandardB_Run1
A05,RUN1,Standard,StandardB_Run1
A06,RUN1,Standard,StandardB_Run1
A07,RUN1,Standard,StandardC_Run1
A08,RUN1,Standard,StandardC_Run1
A09,RUN1,Standard,StandardC_Run1
A10,RUN1,Standard,StandardD_Run1
A11,RUN1,Standard,StandardD_Run1
A12,RUN1,Standard,StandardD_Run1
B01,RUN1,Standard,StandardE_Run1
B02,RUN1,Standard,StandardE_Run1
B03,RUN1,Standard,StandardE_Run1
B04,RUN1,Standard,StandardF_Run1
B05,RUN1,Standard,StandardF_Run1
B06,RUN1,Standard,StandardF_Run1
B07,RUN1,Standard,StandardG_Run1
B08,RUN1,Standard,StandardG_Run1
B09,RUN1,Standard,StandardG_Run1
B10,RUN1,Standard,StandardH_Run1
B11,RUN1,Standard,StandardH_Run1
B12,RUN1,Standard,StandardH_Run1
C01,RUN1,Standard,StandardI_Run1
C02,RUN1,Standard,StandardI_Run1
C03,RUN1,Standard,StandardI_Run1
C04,RUN1,Host,D01_Host
C05,RUN1,Host,D01_Host
C06,RUN1,Host,D01_Host
C07,RUN1,Symbiont,D01_Symbiont
C08,RUN1,Symbiont,D01_Symbiont
C09,RUN1,Symbiont,D01_Symbiont
C10,RUN1,Host,D02_Host
C11,RUN1,Host,D02_Host
C12,RUN1,Host,D02_Host
D01,RUN1,Symbiont,D02_Symbiont
D02,RUN1,Symbiont,D02_Symbiont
D03,RUN1,Symbiont,D02_Symbiont
D04,RUN1,Host,D03_Host
D05,RUN1,Host,D03_Host
D06,RUN1,Host,D03_Host
D07,RUN1,Symbiont,D03_Symbiont
D08,RUN1,Symbiont,D03_Symbiont
D09,RUN1,Symbiont,D03_Symbiont
D10,RUN1,Host,D04_Host
D11,RUN1,Host,D04_Host
D12,RUN1,Host,D04_Host
E01,RUN1,Symbiont,D04_Symbiont
E02,RUN1,Symbiont,D04_Symbiont
E03,RUN1,Symbiont,D04_Symbiont
E04,RUN1,Host,D05_Host
E05,RUN1,Host,D05_Host
E06,RUN1,Host,D05_Host
E07,RUN1,Symbiont,D05_Symbiont
E08,RUN1,Symbiont,D05_Symbiont
