Well.Location,Run,Sample.Type,Sample.Name
A01,RUN1,Standard,StandardA_Run1
A02,RUN1,Standard,StandardA_Run1
A03,RUN1,Standard,StandardA_Run1
A04,RUN1,Standard,StandardB_Run1
A05,RUN1,Standard,StandardB_Run1
A06,RUN1,Standard,StandardB_Run1
A07,RUN1,Standard,StandardC_Run1
A08,RUN1,Standard,StandardC_Run1
A09,RUN1,Standard,StandardC_Run1
A10,RUN1,Standard,StandardD_Run1
A11,RUN1,Standard,StandardD_Run1
A12,RUN1,Standard,StandardD_Run1
B01,RUN1,Standard,StandardE_Run1
B02,RUN1,Standard,StandardE_Run1
B03,RUN1,Standard,StandardE_Run1
B04,RUN1,Standard,StandardF_Run1
B05,RUN1,Standard,StandardF_Run1
B06,RUN1,Standard,StandardF_Run1
B07,RUN1,Standard,StandardG_Run1
B08,RUN1,Standard,StandardG_Run1
B09,RUN1,Standard,StandardG_Run1
B10,RUN1,Standard,StandardH_Run1
B11,RUN1,Standard,StandardH_Run1
B12,RUN1,Standard,StandardH_Run1
C01,RUN1,Standard,StandardI_Run1
C02,RUN1,Standard,StandardI_Run1
C03,RUN1,Standard,StandardI_Run1
C04,RUN1,Host,D01
C05,RUN1,Host,D01
C06,RUN1,Host,D01
C07,RUN1,Symbiont,D01
C08,RUN1,Symbiont,D01
C09,RUN1,Symbiont,D01
C10,RUN1,Host,D02
C11,RUN1,Host,D02
C12,RUN1,Host,D02
D01,RUN1,Symbiont,D02
D02,RUN1,Symbiont,D02
D03,RUN1,Symbiont,D02
D04,RUN1,Host,D03
D05,RUN1,Host,D03
D06,RUN1,Host,D03
D07,RUN1,Symbiont,D03
D08,RUN1,Symbiont,D03
D09,RUN1,Symbiont,D03
D10,RUN1,Host,D04
D11,RUN1,Host,D04
D12,RUN1,Host,D04
E01,RUN1,Symbiont,D04
E02,RUN1,Symbiont,D04
E03,RUN1,Symbiont,D04
E04,RUN1,Host,D05
E05,RUN1,Host,D05
E06,RUN1,Host,D05
E07,RUN1,Symbiont,D05
E08,RUN1,Symbiont,D05
E09,RUN1,Symbiont,D05
E10,RUN1,Host,D06
E11,RUN1,Host,D06
E12,RUN1,Host,D06
F01,RUN1,Symbiont,D06
F02,RUN1,Symbiont,D06
F03,RUN1,Symbiont,D06
F04,RUN1,Host,D07
F05,RUN1,Host,D07
F06,RUN1,Host,D07
F07,RUN1,Symbiont,D07
F08,RUN1,Symbiont,D07
F09,RUN1,Symbiont,D07
F10,RUN1,Host,D08
F11,RUN1,Host,D08
F12,RUN1,Host,D08
G01,RUN1,Symbiont,D08
G02,RUN1,Symbiont,D08
G03,RUN1,Symbiont,D08
G04,RUN1,Host,D09
G05,RUN1,Host,D09
G06,RUN1,Host,D09
G07,RUN1,Symbiont,D09
G08,RUN1,Symbiont,D09
G09,RUN1,Symbiont,D09
G10,RUN1,Host,D10
G11,RUN1,Host,D10
G12,RUN1,Host,D10
H01,RUN1,Symbiont,D10
H02,RUN1,Symbiont,D10
H03,RUN1,Symbiont,D10
H04,RUN1,Host,C01
H05,RUN1,Host,C01
H06,RUN1,Host,C01
H07,RUN1,Symbiont,C01
H08,RUN1,Symbiont,C01
H09,RUN1,Symbiont,C01
H10,RUN1,NA,NA
H11,RUN1,NA,NA
H12,RUN1,NA,NA
